subject,shader,AR_on_off,obstacle_position,obstacle_comments,distance_from_obstacle,person_angle,person_score,person_confidence,person_comments,pose,pose_score,pose_confidence,pose_comments,object,objects_score,objects_confidence,objects_comments
1,red2blue,off,6.5,,2.452,-22.5,1,3,,T,1,3,,Garbage bin,0,0,no response
1,red2blue,off,5.5,,0.669,22.5,1,3,,+,1,3,,lamp,0,0,no response
1,red2blue,off,6,,0.972,0,1,3,,/,1,3,,spray bottle,0,0,no response
1,red2blue,off,7.5,,1.347,45,1,3,,O,1,3,,basket,1,1,basket
1,red2blue,off,7,,1.543,-45,1,3,,Y,1,3,,plant,1,1,plant
1,red2blue,on,6,,1.274,-22.5,1,3,,+,1,3,,basket,1,2,basket
1,red2blue,on,5.5,,1.168,-45,1,3,,O,1,3,,lamp,1,1,lamp
1,red2blue,on,6.5,,2.12,0,1,3,,/,1,3,,spray bottle,1,1,spray bottle
1,red2blue,on,7.5,,2.2146,22.5,1,3,,T,1,3,,Garbage bin,1,1,bin
1,red2blue,on,7,,1.23,45,1,3,,Y,1,3,,plant,1,1,plant
3,yellow2blue,off,7,,0.876,0,1,3,,T,0.5,1,,plant,0,1,trash can
3,yellow2blue,off,6.5,,0.536,-45,1,3,,/,1,1,,basket,0,1,lamp
3,yellow2blue,off,5.5,,0.741,45,1,3,,+,0.5,1,,spray bottle,0,1,basket
3,yellow2blue,off,6,,2.466,22.5,1,3,,Y,0.5,1,,Garbage bin,0,1,spray bottle
3,yellow2blue,off,7.5,,1.385,-22.5,1,3,,O,0.5,2,,lamp,1,1,lamp
3,yellow2blue,on,6,,2.795,22.5,1,3,,O,0.5,3,,basket,0,2,trash can
3,yellow2blue,on,7,,3.901,-45,1,3,,+,0.5,2,,lamp,1,2,lamp
3,yellow2blue,on,5.5,,2.639,-22.5,1,3,,Y,0,3,,Garbage bin,1,2,trash can
3,yellow2blue,on,6.5,,2.242,0,1,3,,/,0.5,3,,spray bottle,1,2,spray bottle
3,yellow2blue,on,7.5,,4.061,45,1,3,,T,1,3,,plant,1,2,plant
2,yellow2blue,off,6.5,,0.894,-22.5,1,3,,O,1,3,,plant,1,3,plant
2,yellow2blue,off,7,,0.807,-45,1,3,,Y,1,3,,Garbage bin,0,2,basket
2,yellow2blue,off,7.5,,1.019,45,1,3,,/,1,3,,basket,1,3,basket
2,yellow2blue,off,5.5,,0.873,0,1,3,,+,0.5,3,,lamp,1,3,lamp
2,yellow2blue,off,6,,1.307,22.5,1,3,,T,1,3,,spray bottle,1,3,spray bottle
2,yellow2blue,on,6.5,,3.406,45,1,3,,T,0.5,2,,spray bottle,1,3,spray bottle
2,yellow2blue,on,5.5,,2.117,0,1,3,,+,0.5,3,,basket,0,1,trash bin
2,yellow2blue,on,7.5,,2.389,-22.5,0.5,3,,Y,1,3,,plant,0,2,lamp
2,yellow2blue,on,6,,1.854,22.5,1,3,,O,1,3,,Garbage bin,1,2,trash bin
2,yellow2blue,on,7,,2.608,-45,0.5,3,,/,1,3,,lamp,1,3,lamp
4,white2blue,off,7.5,miss,NA,22.5,0,0,no response,O,0,0,no response,Garbage bin,0,0,no response
4,white2blue,off,6,,0.531,45,0,0,no response,T,0,0,no response,basket,0,0,no response
4,white2blue,off,6.5,,0.849,-22.5,0,0,no response,+,0,0,no response,spray bottle,0,0,no response
4,white2blue,off,7,,1.144,0,0,0,no response,/,0,0,no response,lamp,0,0,no response
4,white2blue,off,5.5,,0.944,-45,0,0,no response,Y,0,0,no response,plant,0,0,no response
4,white2blue,on,6.5,miss,NA,22.5,1,2,,O,1,1,,basket,0,0,no response
4,white2blue,on,7.5,,1.553,45,1,3,,/,0.5,1,,plant,0.5,NA,"plant or bin ""I can sense it is one of the larger ones"""
4,white2blue,on,7,,2.032,-22.5,1,2,,T,1,1,,lamp,0,1,basket
4,white2blue,on,6,,1.178,-45,0,1,,+,0.5,1,,Garbage bin,1,2,bin
4,white2blue,on,5.5,noticed wall to the right of barrier first and stopped 2.744m from wall and 2.059 from obstacle,2.744,0,1,2,,Y,0.5,1,,spray bottle,1,1,spray bottle
