subject,exp_group,trial_type,gesture,gesture_confidence,gesture_score,gesture_score_consensus,gesture_agreement,pose,pose_confidence,pose_score,pose_score_consensus,pose_agreement,object,objects_score,objects_confidence,objects_guess
1,color,off,Open Hand,1,0.333333333,0,agreement,+,3,1,1,agreement,lamp,1,3,lamp
1,color,off,Peace,1,0.5,0.5,agreement,I,3,1,1,agreement,spray,1,1,spray
1,color,off,Fist,1,0.5,0.5,agreement,/,2,1,1,agreement,plant,0,1,spray
1,color,off,Thumbs up,1,0.166666667,0,agreement,T,2,1,1,agreement,basket,0,2,books
1,color,off,Shaka,1,0.333333333,0,agreement,Y,2,1,1,agreement,bin,1,2,bin
1,color,off,OK,1,0,0,agreement,O,1,1,1,agreement,books,0,2,bin
1,color,on,Open Hand,2,0,0,agreement,/,3,1,1,agreement,basket,1,2,basket
1,color,on,OK,2,0,0,agreement,Y,3,1,1,agreement,spray,1,2,spray
1,color,on,Thumbs up,1,0.166666667,0,agreement,+,3,1,1,agreement,bin,1,3,bin
1,color,on,Shaka,2,0.666666667,1,agreement,O,3,1,1,agreement,books,1,2,books
1,color,on,Fist,2,0.166666667,0,agreement,I,3,1,1,agreement,lamp,1,3,lamp
1,color,on,Peace,2,0.5,0.5,disagreement,T,3,1,1,agreement,plant,1,2,plant
2,control,off,Shaka,1,0,0,agreement,I,3,0.833333333,1,agreement,plant,0,2,bin
2,control,off,Fist,1,0,0,agreement,+,3,1,1,agreement,basket,0,2,books
2,control,off,Open Hand,1,0.333333333,0.5,agreement,O,2,1,1,agreement,books,0,1,spray
2,control,off,Thumbs up,1,0.166666667,0,agreement,/,2,1,1,agreement,lamp,1,2,lamp
2,control,off,OK,2,0.5,0.5,agreement,T,2,1,1,agreement,bin,0,2,bin
2,control,off,Peace,1,0,0,agreement,Y,2,1,1,agreement,spray,0,1,basket
2,control,on,Shaka,1,0.166666667,0,agreement,+,3,1,1,agreement,spray,0,2,lamp
2,control,on,Fist,1,0.333333333,0.5,agreement,O,2,1,1,agreement,basket,1,2,basket
2,control,on,Thumbs up,2,0,0,agreement,T,3,1,1,agreement,plant,1,3,plant
2,control,on,Open Hand,1,0.666666667,0.5,agreement,/,3,1,1,agreement,bin,1,3,bin
2,control,on,Peace,1,0,0,agreement,Y,2,1,1,agreement,lamp,0,1,spray
2,control,on,OK,2,0.5,0.5,agreement,I,3,1,1,agreement,books,1,2,books
3,control,off,Shaka,1,0,0,agreement,I,3,1,1,agreement,plant,0,1,books
3,control,off,Fist,1,0,0,agreement,+,2,1,1,agreement,basket,0,2,bin
3,control,off,Open Hand,1,0,0,agreement,O,3,0.333333333,0.5,agreement,books,0,1,spray
3,control,off,Thumbs up,1,0.666666667,0.5,agreement,/,3,1,1,agreement,lamp,0,1,books
3,control,off,OK,2,0,0,agreement,T,3,1,1,agreement,bin,0,2,basket
3,control,off,Peace,1,0,0,agreement,Y,3,1,1,agreement,spray,1,1,spray
3,control,on,Shaka,2,0,0,agreement,+,3,1,1,agreement,spray,1,2,spray
3,control,on,Fist,1,0,0,agreement,O,3,0.166666667,0,agreement,basket,0,2,books
3,control,on,Thumbs up,2,0.166666667,0,agreement,T,2,1,1,agreement,plant,1,2,plant
3,control,on,Open Hand,2,0.333333333,0.5,agreement,/,3,1,1,agreement,bin,1,3,bin
3,control,on,Peace,1,0,0,agreement,Y,3,1,1,agreement,lamp,0,1,plant
3,control,on,OK,1,0,0,agreement,I,2,1,1,agreement,books,0,1,basket
4,control,off,Peace,1,0.166666667,0,agreement,Y,1,0,0,agreement,lamp,0,1,plant
4,control,off,Thumbs up,1,0.666666667,0.5,agreement,T,1,0,0,agreement,spray,1,1,spray
4,control,off,Fist,1,0,0,agreement,/,1,0,0,agreement,plant,0,1,bin
4,control,off,Shaka,1,0,0,agreement,O,1,1,1,agreement,bin,0,1,books
4,control,off,Open Hand,1,0,0,agreement,I,1,1,1,agreement,books,0,1,basket
4,control,off,OK,1,0,0,agreement,+,1,1,1,agreement,basket,0,1,lamp
4,control,on,OK,1,0,0,agreement,Y,1,0,0,agreement,lamp,0,1,bin
4,control,on,Open Hand,1,0,0,agreement,/,1,0,0,agreement,spray,1,1,spray
4,control,on,Shaka,1,1,1,agreement,T,1,0,0,agreement,books,0,1,lamp
4,control,on,Fist,1,0,0,agreement,O,1,0,0,agreement,bin,0,1,books
4,control,on,Thumbs up,1,0.333333333,0,agreement,I,1,0,0,agreement,plant,1,1,plant
4,control,on,Peace,1,0.5,0.5,agreement,+,1,0,0,agreement,basket,1,1,basket
5,opacity,off,Thumbs up,1,0,0,agreement,/,3,1,1,agreement,plant,1,1,plant
5,opacity,off,Peace,1,0,0,agreement,T,3,1,1,agreement,lamp,0,1,spray
5,opacity,off,Shaka,1,0.666666667,1,agreement,+,2,1,1,agreement,basket,0,1,lamp
5,opacity,off,Open Hand,1,0,0,agreement,O,2,1,1,agreement,bin,0,1,basket
5,opacity,off,OK,1,0,0,agreement,I,1,1,1,agreement,spray,0,1,books
5,opacity,off,Fist,1,0,0,agreement,Y,2,1,1,agreement,books,0,1,bin
5,opacity,on,OK,1,0,0,agreement,Y,2,1,1,agreement,basket,0,2,bin
5,opacity,on,Open Hand,1,0,0,agreement,T,1,0.5,0.5,agreement,books,1,2,books
5,opacity,on,Thumbs up,1,0,0,agreement,+,1,0,0,agreement,bin,0,3,plant
5,opacity,on,Shaka,1,0,0,agreement,/,1,1,1,agreement,plant,1,2,plant
